time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
2.1000000000000014,-0.110916662701,0.330497834823,15.3145356104,0.039347719178,6.25554431274,0.0,0.0303946942402,0.54235593122,4.65861510884,-0.00207507439617,-0.050283717732,0.0,478.87831231366795,479.0178945182193,478.74174638882585,477.66649517890943
2.1600000000000015,-0.108444997773,0.363937480478,15.5993629774,0.0391467857151,6.25216665659,0.0,0.0523310392348,0.572247838537,4.83488567159,-0.00602684387029,-0.0723767938419,0.0,480.4074770183089,478.727108975952,481.0558087923877,480.7565145594572
2.2200000000000015,-0.104570144557,0.399169338158,15.8948952936,0.0387507882296,6.24814957558,0.0,0.0772799281497,0.602069330878,5.01539683021,-0.00777160224296,-0.0578611838878,0.0,482.5182624926234,483.60993529178523,482.8911460701261,482.75960882605403
2.2800000000000016,-0.0993047419122,0.4359677614,16.195770625,0.0381844254391,6.24469327677,0.0,0.0985351588774,0.624495569844,5.01377422599,-0.0130030238208,-0.0570976459441,0.0,429.0665168601487,429.12892562657987,428.2398163728708,427.7946402733414
2.3400000000000016,-0.0926059867796,0.474194822679,16.4990312323,0.0377776332764,6.24135640168,0.0,0.125077878758,0.649664446791,5.09453831212,0.00341930949426,-0.0528032891046,0.0,454.7222565879184,455.0641683727211,453.91523928912903,455.23150004256206
2.4000000000000017,-0.0844942216571,0.513707466525,16.8013489691,0.0382893710858,6.23832591397,0.0,0.14555455088,0.66746453135,4.9831964251,0.0171722230071,-0.046274593095,0.0,392.08168544257524,392.68588818951383,390.803614674606,392.08357999710915
2.4600000000000017,-0.0749359791109,0.554445102092,17.1008424517,0.0392409043591,6.23532748979,0.0,0.173308016897,0.690538605852,4.99982121938,0.0130937316426,-0.0586441245228,0.0,434.6879744195229,433.64833168748686,434.60813111787115,434.2660176753507
2.520000000000002,-0.0635363351171,0.596679947589,17.4037864022,0.0402990967384,6.2319201532,0.0,0.207010798432,0.717362706694,5.09784381768,0.0254494796218,-0.0533165628264,0.0,460.92387362865816,461.3426869187287,458.4779904814431,459.45867887453346
2.580000000000002,-0.0498418140826,0.64070813596,17.7165562873,0.0418723839163,6.22965225573,0.0,0.249736607305,0.750384271679,5.32673634141,0.0277221587066,-0.0174739124629,0.0,498.0607535206846,500.67483219884764,499.09465257808625,499.26057454029404
2.640000000000002,-0.0338276788973,0.686527870056,18.0376487289,0.0431649580218,6.22910558206,0.0,0.284126649665,0.77706983085,5.37608623859,0.00481153030951,0.00383150115478,0.0,446.52653103435,448.2615861439691,449.9498776888144,448.0909635409054
2.700000000000002,-0.015881958732,0.733857521845,18.3591497265,0.04355353578,6.22961951012,0.0,0.314040616592,0.800614722757,5.34076741712,0.00961375760439,0.0166617641373,0.0,420.8350557468744,421.9442661201688,421.19929256966856,421.6143776311111
2.760000000000002,0.00380676597299,0.78257269488,18.6777616478,0.0436241288256,6.23043592584,0.0,0.342192441509,0.823265036807,5.27990430998,-0.0266689993802,0.00666458996854,0.0,412.24971228908447,411.36514119513794,414.6851636236179,411.48506830802404
2.820000000000002,0.0254273204936,0.83284929421,18.9975418665,0.0422287381956,6.23106196404,0.0,0.378413578753,0.852441525741,5.37897287175,-0.0171822351642,0.0170704326653,0.0,464.0344107154438,464.8505529828849,461.4914674052659,462.23974960727196
